startupName,startupActivitySector,startupCreatedAt,startupLogo,startupWebsite,startupLabelDate,startupDescription,startupFounders,startupEmail,startupPhone
Watto,Fintech,2021,https://admin.startup.gov.tn/storage/application_sessions/images/logos/WATTO_SOCIAL_MEDIA.png,https://www.watto.tn,12/2022,"Watto is a cutting-edge money pot and gift card platform that redefines the way people come together to celebrate special occasions and show their appreciation. 

With Watto, users can easily set up personalized money pots for any occasion, such as birthdays, weddings, baby showers, graduations, and more. The platform allows contributors to make monetary contributions to these money pots securely and conveniently online, eliminating the need for physical cash or complicated money pooling arrangements.

Our gift card marketplace complements the money pot feature, offering a versatile gifting solution for individuals seeking the perfect present. Users can browse through an extensive selection of digital gift cards from popular retailers, services, entertainment venues, and more. Recipients can easily redeem their gift cards in-store, enjoying the freedom to pick exactly what they desire.

Watto prioritizes user-friendliness and security, boasting an intuitive interface that is accessible across multiple devices. The platform utilizes robust encryption and payment gateways, guaranteeing a safe and protected transaction process for all users.","Selim Mohamed Gharbi, omar khemakhem",n.a.,n.a.
Mouqawel,Business Software and services,2023,https://admin.startup.gov.tn/storage/application_sessions/images/logos/IMG-20230812-WA0000.jpg,https://mouqawel.tn/,08/2023,Mouqawel.tn: Digital platform dedicated to Companies and Professionals in the Building and Public Works sector in Tunisia.,ikbel sassi,contact@mouqawel.tn,92449448
Comporoll,Environment,2022,https://startup.gov.tn/sites/default/files/2021-10/startuptunisia.png,null,07/2022,Comporoll is a start-up that offers an easy and pleasant experience in the transformation of organic waste into compost.,"Ghalia Damak, Mohamed Dammak",contact@comporoll.com,n.a.
ALIDADE,Business Software and services,2016,https://startup.gov.tn/sites/default/files/2021-10/startuptunisia.png,www..alidade.tn,02/2024,Alidade supports pharma companies in their commercial excellence process by providing  products and clients data service called DataVey and technology services based on the CannyForce platform of sales force management in secure and highly available cloud.,"Mejdi Gaddouch, Monia Grtimene",mejdi.gaddouch@alidade.tn,98223000
wiTrade,Commerce and shopping,2020,https://admin.startup.gov.tn/storage/application_sessions/images/logos/wiTrade.png,null,12/2020,wiTrade is a marketplace that connects Tunisian sellers to international buyers and acts as a sales and distribution channel,"Meriem Nebti, zaineb nebti, Taha Nebti",n.a.,n.a.
Slidzo,Business Software and services,2022,https://startup.gov.tn/sites/default/files/2021-10/startuptunisia.png,https://slidzo.com/,08/2022,"Slidzo is a Startup that offers an online presentation editing platform with unique features like 3D presentations and AI-generated slides.
With Slidzo, you can easily create your decks, collaborate with your teams on your slides, add comments, broadcast live presentations, manage your work and your workspaces.
We also offer unique 3D presentations that you can easily edit without leaving your classic 2D slide editor.
These 3D presentations are perfect for educational purposes or any event that needs to grab the attention of the audience.
Our mission is to make impressive presentations the new norm.",Fedi Ben Nejma,contact@slidzo.com,+216 55 357 225
PEAK Technologies SARL,Fintech,2017,https://admin.startup.gov.tn/storage/application_sessions/images/logos/peak.png,https://www.peak-cs.com/,05/2019,PEAK Technologies is specialized in the development of solutions for the management and control of transactional operations based on Blockchain technologies.,"Moslem Ben Dhaou, Bilel Methnani",n.a.,n.a.
EATISY,Business Software and services,2020,https://admin.startup.gov.tn/storage/application_sessions/images/logos/Eatisy.png,http://www.eatisy.com,11/2020,Eatisy is a web and mobile solution to place an order in an online food & beverage location while ensuring visibility for the customer on the status of his order.,"Walid Baltagi, Hamed Baltagi, Chekib Chakroun, Chedi Chakroun",n.a.,n.a.
Go Online Africa,Business Software and services,2019,https://admin.startup.gov.tn/storage/application_sessions/images/logos/goonlineafrica.png,https://www.go-online-africa.com/,04/2020,"GOA is an e-commerce service company for brands that intervenes on the entire e-commerce value chain: logistics, management of e-boutiques ...""","Emna Makni, Salma Amor",n.a.,n.a.
BioAgrihelpers (BAH),Agritech,2020,https://admin.startup.gov.tn/storage/application_sessions/images/logos/Bioagri-helpers.png,http://www.bioagrihelper.com ,12/2020,Bioagrihelpers is a digital educational platform that allows agro-operators in Africa to access E-training and assistance in the field of sustainable agriculture in one click.,"Syrine Baghdadi, Yosr Baghdadi, Mayssa Ghazel",n.a.,n.a.
INNOFAB,Ad Tech and Creative Tech,2020,https://admin.startup.gov.tn/storage/application_sessions/images/logos/Innofab.png,http://innofab.tn,03/2020,INNOFAB is a collaborative open innovation platform presenting project ideas and supporting people who want to start their own business.,Nadim Kharraz,n.a.,n.a.
Actifs Précieux Apex S.A,HealthTech,2016,https://admin.startup.gov.tn/storage/application_sessions/images/logos/actifsprecieux.png,https://www.actifsprecieux.com,06/2019,"We develop, produce and market active ingredients, formulated and objectified, obtained only from natural raw materials.","Hedi Derouiche, Hajer Derouiche",n.a.,n.a.
HAT Information Security Corporate,Security,2023,https://startup.gov.tn/sites/default/files/2021-10/startuptunisia.png,hat-training.com,10/2023,Our company positions itself as a provider of intelligent solutions targeting the improvement of cybersecurity skills and practices at the enterprise level.,"Anis Fourati, Randa Sellami, Mohamed Ali Fitouhi",n.a.,n.a.
LORE AND HEART,Commerce and shopping,2018,https://admin.startup.gov.tn/storage/application_sessions/images/logos/Loreandheart.png,https://loreandheart.com/,05/2020,"We promote Tunisian artisans and designers abroad under the brand Lore and Heart, specializing in interior design, fashion and lifestyle.","Salma Ben Hamida, Cyrine Ben Hamida",n.a.,n.a.
SESIT,Agritech,2020,https://admin.startup.gov.tn/storage/application_sessions/images/logos/sesit.png,http://www.sesit.tn,04/2020,Sesite combines hardware and software development and production of technological solutions for connected and automated agriculture in an intelligent way.,"Nasreddine Somaali, Marwa Khnissi",n.a.,n.a.
ZATEX,Consumer products and services,2020,https://admin.startup.gov.tn/storage/application_sessions/images/logos/Zatex.png,http://m2m-group.tech/,05/2020,"ZATEX provides a complete solution for telemetry systems and management software, transforming the way gas stations and fuel dispensers operate.                              ZATEX's electronic gauging systems for gas stations and fuel dispensers improve business performance.","Mohamed Maalej, Faten Maalej, Houssem Amara",n.a.,n.a.
Educanet Tunisia,EdTech,2013,https://admin.startup.gov.tn/storage/application_sessions/images/logos/Educanet.png,https://www.educanet.tn/,05/2019,Educanet has developed an information system for educational institutions: from primary school to university. Complete ERP for the establishment from pedagogy to accounting and online declarations.,Anis Arbia,n.a.,n.a.
Datavora,Consumer products and services,2016,https://admin.startup.gov.tn/storage/application_sessions/images/logos/datavora.png,https://datavora.com/,04/2019,"Startup specialized in the online offer, Datavora proposes a platform of competitive and price monitoring on a large scale for the actors of the e-commerce.","Mohamed Hédi Zaher, Oussama Messaoud",n.a.,n.a.
Ernest,Business Software and services,2020,https://admin.startup.gov.tn/storage/application_sessions/images/logos/Ernest.png,null,05/2020,Edition of intelligent solutions around compliance and social management of companies.,Fayçal Derouiche,n.a.,n.a.
KNSD,Ad Tech and Creative Tech,2016,https://admin.startup.gov.tn/storage/application_sessions/images/logos/knsd.png,https://www.knsd.digital/,05/2019,KNSD is a digital communication agency that develops a product/service for monitoring social networks in SAAS.,"Ali Boulila, Kais Ezzine",n.a.,n.a.
NovaTEK Solution,Agritech,2020,https://admin.startup.gov.tn/storage/application_sessions/images/logos/novatek.png,http://novatek-solutions.com,03/2020,Development of innovative robotic and IoT solutions for real time monitoring in agriculture and energy management.,"Safa Bouhajer, Karim Boughanmi, Ilyes Karma",n.a.,n.a.
Class Quiz,EdTech,2020,https://admin.startup.gov.tn/storage/application_sessions/images/logos/8-Class-quiz.png,https://www.classquiz.tn/,09/2020,ClassQuiz is an educational platform that offers quality digital and interactive content for primary education.,"Sabrine IBRAHIM, Sabrine IBRAHIM",sabrine.ibrahim@envast.tn,21267722
Tryppy,Mobility,2022,https://startup.gov.tn/sites/default/files/2021-10/startuptunisia.png,null,08/2022,null,"Mohamed Amine Mzoughi, Yassine Kardoun, Skander Saidi, Guesmi Marwen",n.a.,n.a.
Relead,Ad Tech and Creative Tech,2021,https://admin.startup.gov.tn/storage/application_sessions/images/logos/logo-Relead-final.png,https://relead.tn/,12/2022,"Relead democratizes Internet access for everyone by offering an accessible, free and secure solution.
Relead's concept is to deliver a free Wi-Fi connection conditional on the viewing of an 8-second advertising sequence.
The objective of the business model is to create and manage a high volume of Wi-Fi connections, across a wide range of sites, on a daily basis. 
This core platform, combined with the demographic information of Wi-Fi users, allows Relead to offer institutional (national organizations, awareness campaigns...) and private digital advertisers a targeted, proximity communication channel, compliant with GDPR regulations.","Hadhami Rjiba, Rayen Cherni",n.a.,n.a.
Odacel,Consumer products and services,2018,https://admin.startup.gov.tn/storage/application_sessions/images/logos/Odacel.png,http://atseeone.com,07/2020,"Atseeone, the solution provided by Odacel, is a set of application modules designed according to the micro-services concepts allowing optimized fleet management.","Mohamed Salah Karouia, Abdeljalil Karouia, Slim Ouichtati, Mourad Karouia, Mohamed Selim Bessi",n.a.,n.a.
SOFI,Commerce and shopping,2021,https://admin.startup.gov.tn/storage/application_sessions/images/logos/13-SOFI.png,http://www.sofisoft.tn,06/2021,"SOFISOFT is a Marketplace that connects buyers and sellers of decoration items, providing them with a decision support system based on the association and harmonization of colors when purchasing decoration items.","Kaies Tarres, Mohamed Tarres, Soumaya Tarres",n.a.,n.a.
XQuant Software,Fintech,2019,https://admin.startup.gov.tn/storage/application_sessions/images/logos/XQuant-Software.png,https://www.xquant-ai.com/,02/2021,XQuant Software designs productivity software for banks using artificial intelligence,Chea Srun,n.a.,n.a.
Riblum,Environment,2021,https://admin.startup.gov.tn/storage/application_sessions/images/logos/Riblim.png,http://www.riblum.com/,10/2021,"RIBLUM develops a sustainable wood composite from palm tree waste, transformed into high value furniture & doors.","Hadded Malek, Sara Bennour",n.a.,n.a.
DIDA MIND,Advanced Manufacturing & Robotics,2020,https://admin.startup.gov.tn/storage/application_sessions/images/logos/2-DIDA-MIND.png,https://www.didamind.com,09/2020,"DidaMind offers EnergySave, an electrical supervision and energy monitoring solution that allows energy management, industrial performance and maintenance efficiency.","Hatem Abidi, Soumaya Ben Abdallah",n.a.,n.a.
Pivlo,Ad Tech and Creative Tech,2022,https://admin.startup.gov.tn/storage/application_sessions/images/logos/Pivlo.png,http://www.pivlo.io,02/2022,"Pivlo is a 3D product visualization & Augmented Reality platform that enables brands to collaborate, manage and distribute real-time interactive visuals at scale.","Hamadi Ben Slimane, Mohamed Montassar Mosbehi",n.a.,n.a.
Paymee,Fintech,2018,https://admin.startup.gov.tn/storage/application_sessions/images/logos/Paymee.png,https://www.paymee.tn/,05/2019,Developing mobile payment solutions and online payment gateways.,Marwen Amamou,n.a.,n.a.
NetShareK Network Share Knowledge,EdTech,2021,https://admin.startup.gov.tn/storage/application_sessions/images/logos/NetShareK-Technology.png,https://www.netsharek.tn,03/2021,NetShareK is an online platform that allows teachers to share/co-create their course resources with each other and with their students.,"Riadh Brinsi, Abdallah Bakir",n.a.,n.a.
FlexyFleet,Mobility,2023,https://startup.gov.tn/sites/default/files/2021-10/startuptunisia.png,null,02/2024,"FlexyFleet is an innovative platform aiming to revolutionize last-mile logistics by enhancing delivery efficiency and scalability. It offers seamless integration, intelligent matching systems, and scalable fleet management to meet rising consumer expectations.",Karim Ben Fadhel,n.a.,n.a.
wireless services,Mobility,2019,https://admin.startup.gov.tn/storage/application_sessions/images/logos/Wirelessservices.png,https://www.wiser-tunisie.com/,05/2020,"WISER applications are digital applications for connecting: 1. passengers and cab drivers 2. product suppliers (restaurant, supermarket, store ....) and customers","Majdouline Mansour, Majed Jabri, Sahbi Mansour",n.a.,n.a.
Celebrioo,Ad Tech and Creative Tech,2021,https://admin.startup.gov.tn/storage/application_sessions/images/logos/CELEBRIOO.png,http://www.celebrioo.com,03/2021,Celebrioo is a web/app platform based on content creation through personalized videos made by celebrities for their fans.,"Bilel Knaissi, Mootaz Billeh Chaabani",n.a.,n.a.
Livrina,Mobility,2020,https://admin.startup.gov.tn/storage/application_sessions/images/logos/1-STE-Livrina.png,https://livrina.com/,08/2021,"Livrina is a network for home delivery of food (fast food, pastries...) and other products (make-up, electronics, furniture...) around Kasserine.",Mohamed Fares Ghodhbani,n.a.,n.a.
Supremcloud,Business Software and services,2021,https://admin.startup.gov.tn/storage/application_sessions/images/logos/9-SUPREMCLOUD-TECHNOLOGIES.png,https://suprem.ai/,09/2021,"Supremcloud Technologies is a platform allowing the exploitation of peer-to-peer resources in the cloud for data scientists, engineers and startups for the development of machine learning solutions or big data analysis.",Khaireddine Mejri,n.a.,n.a.
Tadeco It,Mobility,2019,https://admin.startup.gov.tn/storage/application_sessions/images/logos/Tadeco.png,https://www.tadeco-group.tn/,05/2019,Tadeco It has developed a cloud platform for car fleet management.,Aymen Talbi,aymen.talbi@tadeco-group.tn,+21653944686
IZAGRI,Agritech,2022,https://startup.gov.tn/sites/default/files/2021-10/startuptunisia.png,null,02/2023,"IZAGRI is a company specializing in the production and marketing of biostimulants for the nutrition, care and protection of plants. This product helps plants to express their full potential, to better exploit the resources present in their environment and to better resist climatic constraints. In this sense, a natural and environmentally friendly product ensuring a better quality of crops will be made available to the agricultural sector. This product is distinctly different from its chemical counterparts in that it contains a microorganism, rather than having an active chemical composition, which naturally helps protect soil and crops.","Imen Zouari, Zineb Zouari",n.a.,n.a.
Next Gen Corp,HealthTech,2013,https://admin.startup.gov.tn/storage/application_sessions/images/logos/nextgen.png,https://ngcorp.tn/,04/2019,NextGenCorp is specialized in the development of edutainment and therapeutic mobile applications for children with learning disabilities.,"Moez Lachned, Ahmed Nabli",n.a.,n.a.
SKANIT,FoodTech & New Food,2022,https://startup.gov.tn/sites/default/files/2021-10/startuptunisia.png,https://skanit.net/,04/2022,SKANIT is a web application that offers several services to the restaurant manager to help him manage his establishment .,"Abdelkarim Rahal, Nada Dkhil",contact@skanit.net,95606603
SEA DESIGN LAB/OUTA,Environment,2023,https://admin.startup.gov.tn/storage/application_sessions/images/logos/Logo Outa.jpg,https://www.seadesignlab.com/,11/2023,"Tunisian brand turns sea plastic into green couture.
Transforming plastic marine  into fibers and threads for the production of innovative denim fabric and an eco-responsible and sustainable brand.","Anis Montacer, Aymen Souissi, Asma Benyoussef, sami montacer",n.a.,n.a.
Pet Pals,Ad Tech and Creative Tech,2020,https://admin.startup.gov.tn/storage/application_sessions/images/logos/logotext.png,https://playpals.io/,08/2022,"PlayPals Studio is a video game publisher.  Products mainly consist of cross-platform, interactive and multi-player video games.","Ahmed Selmi, Iyed Ben Hadj Dahmen",admin@playpals.io,n.a.
Qr Menu,FoodTech & New Food,2022,https://startup.gov.tn/sites/default/files/2021-10/startuptunisia.png,https://qrmenu.agency/,06/2022,"Qr menu is a saas solution for creating dynamic digital menus from which you can place orders.
All this with a simple scan of a QR code.","Nour Kraiem, Sirine Kraiem",n.a.,n.a.
ILEY'COM,Commerce and shopping,2021,https://admin.startup.gov.tn/storage/application_sessions/images/logos/18-Societe-de-Services-pour-les-Organismes-Solidaires.png,https://ileycom.com/,08/2021,"ILEY'COM is a social and solidarity marketplace that allows all lovers of Africa, and particularly Tunisia, to discover and buy products Made in Africa designed in an eco-responsible manner.","Mehdi Ben Abdallah, Marwa Moula",contact@ileycom.com,0033782655322
Atome Edtech,EdTech,2023,https://admin.startup.gov.tn/storage/application_sessions/images/logos/Logo Atome.png,www.atome.tn,02/2024,"Atome Academy  stands at the forefront of educational innovation that revolutionizes K12 education with innovative content, merging expertise in education, digital technology, and art production for a transformative learning journey.","Zeidoun Meksi, Adnen Somai, Jawhar Mtar, Yasser Joudi",n.a.,n.a.
Coaching Foot,Ad Tech and Creative Tech,2019,https://admin.startup.gov.tn/storage/application_sessions/images/logos/coaching-foot.png,http://www.coaching-foot.com,08/2019,Coaching Foot is the first Fantasy Football game platform in Africa and the only Tunisian soccer statistics provider.,"Ahmed Adala, Kheireddine Fradj, Hussein Jenayah",n.a.,n.a.
Saydalid,HealthTech,2024,https://startup.gov.tn/sites/default/files/2021-10/startuptunisia.png,https://www.saydalid.com,02/2024,"Saydalid is a decision-making tool for pharmacies, combining counter advice with stock management.","Fares Messedi, Rayen Miaoui, Yadh Khalfallah",contact@saydalid.com,+21652515814
Tiktak PRO,Business Software and services,2021,https://admin.startup.gov.tn/storage/application_sessions/images/logos/WELINCO.png,http://tiktakpro.tn/,10/2021,"Welinco offers Tiktak PRO a platform that allows the creation of online stores, through which the user can sell its products on the market.",Zied Bouhejba,n.a.,n.a.
9arini.tn,EdTech,2017,https://admin.startup.gov.tn/storage/application_sessions/images/logos/9arini.png,https://www.9arini.tn,06/2019,www.9arini.tn is a concierge service that connects trainers in different fields with people who want to learn something new.,"Kais Assali, Anis Wahabi",n.a.,n.a.
Avempace,Consumer products and services,2015,https://admin.startup.gov.tn/storage/application_sessions/images/logos/avempace.png,http://www.avempace-wireless.com,08/2019,"Thanks to its expertise in IoT and its innovative technology ViziaLive, Avempace is positioned as a leader in embedded technologies for real-time communication.","Haythem Boughzala, Abdelhamid Kerkeni",n.a.,n.a.
Maginater,Communication services,2022,https://admin.startup.gov.tn/storage/application_sessions/images/logos/Logo-100.jpg,www.maginater.com,08/2022,"Maginater is a one-stop shop for extended reality experiences. It provides those looking to create immersive experiences with an XR studio that allows them to design and animate their XR content and share it in our community without needing a computer background or a team of developers.

In the age of extended reality, Maginater opens the door for those with bright ideas and no computer development background to easily create a professional & high-quality XR experience with an easy-to-use XR studio that offers huge features like uploading, designing and animating 3D models, adding advanced options like hand tracking and interactions, and finally choosing the output format like augmented reality, virtual reality or mixed reality.

All creators will be able to share their content with their customers or niches, for free or for a fee, on our community gallery, which will be the hub of XR experiences.","Madani Moutaa, bilel bilelbasly",n.a.,n.a.
Rayhane,Commerce and shopping,2019,https://admin.startup.gov.tn/storage/application_sessions/images/logos/rayhane.png,http://www.rayhane.tn,04/2020,Rayhane is the first online haberdashery in Tunisia that develops the concept of DIY (Do It Yourself) via animated ready-to-use boxes with photos and video tutorials,"Nesrine Tekitek, Nidhal Tekitek",n.a.,n.a.
SECURAS,Security,2020,https://admin.startup.gov.tn/storage/application_sessions/images/logos/Securas.png,https://securas.fr/,08/2020,SECURAS offers Cybersecurity and Cyber Threat Intelligence solutions that both detect and prevent cyber attacks and threats in order to make prevention against cybersecurity threats accessible to all.,Mohamed Amine Guettat,n.a.,n.a.
FoundPad,Business Software and services,2019,https://admin.startup.gov.tn/storage/application_sessions/images/logos/foundpad.png,https://foundpad.com,09/2019,"FoundPad provide products & services that help founders, product managers, investors, accelerators, incubators, and innovative organizations streamline their process.","Mehdi Nakouri, Hazem Mhiri",n.a.,n.a.
Unify,Ad Tech and Creative Tech,2022,https://admin.startup.gov.tn/storage/application_sessions/images/logos/Unify.png,https://unify.tn/,02/2022,Unify is a content creation platform that offers the content creators of alternative solutions to monetize their communities.,"Abdelhalim Zaibi, Ahmed Ben Mahmoud, Wael Gargouri, Adam Boulila",n.a.,n.a.
Minwin,Wellness,2022,https://startup.gov.tn/sites/default/files/2021-10/startuptunisia.png,http://www.minwin.io,07/2023,Minwin is a smart grocery shopping app built for shoppers to easy compare grocery products prices from local supermarkets to save time and money on groceries and help shoppers to make the right choices for their health by deciphering product labels and analyzing their health impact.,"Ines Borni, mohamed choucheni, Alaa Boukhchina",hello@minwin.io,50518010
Z-Partners,Business Software and services,2021,https://admin.startup.gov.tn/storage/application_sessions/images/logos/20-Z-Partners.png,https://www.capxvalue.com,11/2021,A solution for the realization of forecasted financial statements of a company and the positioning of its indicators in relation to its comparables of the sector,Maher Zaanouni,maher.zaanouni@capxvalue.com,25264747
TakiAcademy,EdTech,2015,https://admin.startup.gov.tn/storage/application_sessions/images/logos/takia.png,https://www.takiacademy.com,06/2019,We teach all subjects for students from 5th grade to high school.,TakiEddine Ben Messaoud,n.a.,n.a.
Jemolio,Consumer products and services,2021,https://startup.gov.tn/sites/default/files/2021-10/startuptunisia.png,www.jemolio.com,01/2023,Production and packaging of extra virgin olive oil in bag-in-box packaging in a 3l and 5l capacity,"Malek Lamine, Karim Snoussi, Malek Ben Mbarek",n.a.,n.a.
WONDER WORK,Business Software and services,2020,https://admin.startup.gov.tn/storage/application_sessions/images/logos/WONDERWORK.png,https://www.wonderwork.tn,12/2020,WONDER WORK offers innovative marketing solutions and exceptional discounts to all its national and international partners through privilege cards.,Yamina Rachdi,n.a.,n.a.
PARKEY,Mobility,2023,https://startup.gov.tn/sites/default/files/2021-10/startuptunisia.png,www.parkey.tn,08/2023,Parking Mobile payment platform,Mehdi Romdhane,n.a.,n.a.
LIFEYE,Agritech,2018,https://admin.startup.gov.tn/storage/application_sessions/images/logos/lifeye.png,https://www.lifeye.io,06/2019,"Lifeye's vision is to bridge the gaps between breeders, veterinarians, financial institutions, insurers, animal pharmaceutical companies, government organizations and NGOs with two solutions, MooMe and VetoMe.","Ahmed Ben Achballah, Bassem Boujelben, Zied Chabchoub, Tarek Blaiech, AMohamed Kallel, Achraf Chabbouh, Ahmed Ben Said, Rateb Jabbar",n.a.,n.a.
Exacctly,Business Software and services,2020,https://admin.startup.gov.tn/storage/application_sessions/images/logos/DataSphera.png,http://www.datasphera.com,06/2020,DataSphera develops NLP and enterprise AI products and solutions for real-time analysis of conversations exchanged with customers.,"Noureddine Louki, Achref Kechaou",n.a.,n.a.
JPARTNERS TUNISIE,Business Software and services,2019,https://admin.startup.gov.tn/storage/application_sessions/images/logos/11-JPARTNERS-TUNISIE.png,null,09/2021,JPARTNERS TUNISIE is specialized in the development of mobile solutions oriented to the supply chain,ZIED JBALI,n.a.,n.a.
ilboursa.com,Ad Tech and Creative Tech,2012,https://admin.startup.gov.tn/storage/application_sessions/images/logos/ilb.png,https://www.ilboursa.com/,05/2019,The objective of ilboursa is to develop the leading and reference media in Finance.,"Ismail Ben Sassi, Rodolphe Villaes",n.a.,n.a.
Gelivro,Business Software and services,2021,https://admin.startup.gov.tn/storage/application_sessions/images/logos/gelivro.png,https://gelivro.com/,08/2021,"Gelivro is a SaaS platform that guarantees billing, control and tracking of delivery and delivery people. They provide an experience that combines billing and delivery.","Ramzi Houidi, Rim Harabi",n.a.,n.a.
