AXES,BRANCH,OBS,REC,NOTE
ORGA,Process - Team Velocity et capacité de Delivery,They are well-developed solutions.,"It would be advantageous for a start-up to concentrate on its generic product by decreasing specific developments that cannot be reused or creating an action plan to transfer them to integrator partners or separate the same product within another company with different management, with the aim of increasing scale and exponential growth in the global market and convincing investors to raise significant capital.",4.0
ORGA,Process - Team Velocity et capacité de Delivery,"It produces mature and effective solutions"".",A strategy that prioritizes the focus on its generic product by reducing specific developments that cannot be reused or establishing and implementing a medium-term action plan to delegate them to integrator partners or separate them in.,4.0
ORGA,PM – Human Centricity,The startup is focused more on the technology than on the end user and his use of the product.,"Create a UX Designer position who can also lead a CSM (Customer Success Management) program. Its main role is to empathize with users, optimize journeys, design interaction, and use user research and Design Thinking techniques such as user testing, focus groups, etc. We recommend focusing on the collection and exploitation of user behavior data through tools and finally having a 360° view of user perception (for example, he must be involved in customer support, customer surveys, etc.).",3.0
ORGA,PM – Human Centricity,The startup places a greater emphasis on technology rather than the end user's experience with the product.,"The ux designer position is responsible for emphasizing user engagement, enhancing the design of journeys, and employing research and design thinking techniques like user research focus groups. It also necessitates an integrated approach to user experience through data analysis and participation in customer support and surveys.",3.0
ORGA,PM – Human Centricity,The startup is more concerned with the technology than the end user's experience of using the product.,"Aux designer position is responsible for emphasizing user engagement, enhancing the design of journeys, and employing research and design thinking techniques like user research focus groups. The position can also lead a csm customer success management program, which emphasizes collaboration with users and the use of tools to collect and analyze data from their behavior as well as their participation in customer support and surveys.",3.0
ORGA,PM – Human Centricity,"More than ever, the startup is focused on delivering technology rather than making it an end user experience by using the product.","To achieve success, ux designers must work with the organization's customer success management team and provide leadership in developing a program that emphasizes user empathy, improving user experiences, using user research and design thinking techniques such as user focus groups, and collecting data from tools to improve user experience.",3.0
ORGA,PM – Human Centricity,"Instead of focusing on the end user, startups prioritize their technology and product usage.","As the ux designer, you can lead a csm customer success management program that emphasizing user empathy, improving user experience through design interaction, and using research and design thinking techniques like user surveys and tools to collect and analyze user behavior data. You must also have responsibilities such as contributing in customer support and survey activities.",3.0
ORGA,PM – Human Centricity,"Rather than the end user's use of their product, the startup places greater emphasis on technology.","In addition to leading the ux designer position, this is an essential skill set for those designing user experiences through a CSM customer success management program. This position's primary responsibility involves emphasizing and communicating with users in order improve their experience and facilitating research and design thinking processes, including user behavior data collection tools, as well as having empathetic involvement via surveys and ongoing participation in customer support and feedback.",3.0
ORGA,PM - Data & Facts Centricity,"The startup has a good use of data due to its activity and the profile / mindset of the team, however it must be improved so that all important decisions and strategy use KPIs (as a decision support)","Set up a dashboard that contains KPIs that will allow the start-up better management: business KPIs (sales, marketing, etc.), usage, technical, financial, HR, support, etc. The startup must trace the ""Validated Learning"" in the sense of Lean Startup which has a visible improvement impact on the other KPIs. Monitor the frequency of its learnings as major startup health KPIs by adding them to the Dashboard. Follow an advanced Lean Startup training program",4.0
ORGA,PM - Data & Facts Centricity,"The startup's activity and team mentality enable it to effectively use data, but it needs to improve its kpis for decision-making.","The startup must create a dashboard that displays all kpis from their start-up better management business, technical financial HR support team, and other relevant areas.",4.0
ORGA,PM - Data & Facts Centricity,"Although the startup's activity and team mentality enable it to effectively use data, implementing KPIIS as a decision support tool is necessary for making important decisions and strategies.",Create a dashboard that features multiple kpis for the start-up and other businesses.,4.0
ORGA,PM - Data & Facts Centricity,"While the startup makes good use of data and team mentality, it needs to improve its kpis for decision support and strategy.","Creating a dashboard with kpis is essential for the start-up, which includes technical financial HR support, sales marketing, technical management consulting, and more. The startup must track its learning in terms of lean startup practices and monitor its health status by adding them to the dashboard alongside major startup health kipies.",4.0
ORGA,PM - Data & Facts Centricity,"The startup makes use of data effectively thanks to its team's profile mindset, but it requires enhancements to utilize KPI in order to make important decisions and strategies more effective.","To ensure the success of a startup that has learned about lean startup practices, it is necessary to create kpis dashboards and track their progress against other dashboard items.",4.0
ORGA,PM - Data & Facts Centricity,"Despite the startup's activity and team' profile mindset being responsible for data usage, it needs to improve its decision-making process using KPIIS.","By creating a dashboard that displays all kpis, including technical financial HR support, sales marketing, and other key performance indicators (i.e., learning from lean startups), tracking the progress of its learned items in addition to monitoring the frequency of these pieces with major health kipies, by adding them to the dashboard alongside an advanced leAN startup training program as part of our ecosystem.",4.0
ORGA,PM - Value Centricity,The startup mixes a core generic product with tailor-made developments (in service mode).,"Avoid complicating the product in general with parameters that
enable or disable features. Avoid anything specific and focus on average needs according to the Pareto principle (the 20% of customers who make 80% of income).",2.0
ORGA,PM - Value Centricity,The startup merges a general product with customized products in service mode.,"The principle of the pareto states that the product should not be made more complicated by parameters that enable or disable features, instead emphasizing typical needs.",2.0
ORGA,PM - Value Centricity,"By combining a basic product with customized services, the startup achieves success.","To avoid making things more complicated, product specifications should be set at parameters that either enable or disable features. The principle of pareto emphasizes focusing on average needs and the 20 customers who earn 80 income per year are not subject to any specific guidelines.",2.0
ORGA,PM - Value Centricity,Combining a core generic product with custom-made developments in service mode is how the startup operates.,"Avoid making the product complicated by setting up parameters that enable or disable features, avoid specific details, and prioritize typical needs according to the pareto principle. The 20 customers who earn 80 income earn at least $80 per year are more likely to be non-compromised based on this principle than their actual behavior.",2.0
ORGA,PM - Value Centricity,A combination of a core generic product and custom-made developments in service mode is employed by the startup.,"Maintain the paradox principle of not making a product complex by setting up parameters to enable or disable features, avoid specific details, and prioritize average requirements above all else. The 20% who make 80 income earn an annual revenue share is determined by the pareto principle.",2.0
ORGA,PM - Value Centricity,The startup combines its core generic product with tailored service mode enhancements.,"By limiting the product's functionality to 20 customers earning 80 income, simplifying the process is possible.",2.0
ORGA,CEO profile,The CEO is a business expert and training developer. The notoriety acquired by the CEO on the radio allows easy access to the market.,No recommendation at this level,5.0
ORGA,CEO profile,"The ceo's reputation as a business expert and training developer is evident on the radio, which allows for easy entry into the market.",There is no suggestion at this level.,5.0
ORGA,CEO profile,"With his reputation as a business expert and training developer, the ceo's radio broadcasts have made him an obvious choice for accessing the market.",I have not received any advice at this juncture.,5.0
ORGA,CEO profile,"Despite his background as a business expert and training developer, the ceo's radio broadcasts have provided him with an unrestricted access to the market.",This level does not warrant any recommendations.,5.0
ORGA,CEO profile,"By gaining fame through his radio broadcasts, the ceo is now recognized as a knowledgeable business leader and skilled trainer, providing them with uncomplicated entry to the market.",No suggestion is given for this kind of level.,5.0
ORGA,CEO profile,"The ceo, who is both a business executive and specialized in training, gained fame through his radio broadcasts, which allowed him to gain an unrestricted access to the market.",There are no recommendations available at this stage.,5.0
ORGA,Team Product Fit,Fairly adapted team with co-founders who have fairly consistent business knowledge. Dev team supported by a competent CTO. Sales from June who potentially will become CEO Tunisia. Current CEO future CEO Tawa Marseille.,"Surround yourself with highly specialized mentors and experts, each in their own field.",4.0
ORGA,Team Product Fit,"The team is fairly adapted and includes co-founders with consistent business knowledge, as well as a dev team supported by dependable CTO sales who may become the current ceo of Tawa Marseille in the future.",Equip yourself with highly qualified instructors and specialists who are knowledgeable in their respective areas of expertise.,4.0
ORGA,Team Product Fit,"A well-adapted team of co-founders with consistent business knowledge and a dev team supported by dependable CTO sales from June, who has the potential to become the current ceo of Tawa Marseille and potentially become president in the future.",Beset by knowledgeable coaches and specialists who have distinct expertise in their respective areas of expertise.,4.0
ORGA,Team Product Fit,Co-founders with consistent business knowledge and a dev team supported by seasoned CTO sales who could potentially become the current ceo of Tawa Marseille in Tundra.,Incorporate specialized trainers and specialists who have distinct expertise in each area to create an effective learning environment.,4.0
ORGA,Team Product Fit,"The team has been fairly adapted, with co-founders possessing consistent business knowledge and a dev team supported by seasoned CTO sales from June who may lead to the position of ceo in Tunisia or Tawa Marseille.","Collaborate with specialized educators and scientists, each dedicated to their specific area of specialization.",4.0
ORGA,Team Product Fit,A reasonably adapted team includes the co-founders who possess relatively consistent business knowledge and the development team is supported by an experienced CTO team from June who has the potential to become the current ceo of Tawa Marseille and could potentially become one of the top executives in Tunisia.,Enlist the help of highly qualified instructors and experts who have a wealth or knowledge that they can apply to any situation.,4.0
ORGA,Production capacity and evolution,The production capacity is ensured by the flexibility and the presence of international profiles in the team.,No recommendation at this level,4.0
ORGA,Production capacity and evolution,The production capacity is maintained by the flexibility and international ties of the team.,There is no suggestion at this level.,4.0
ORGA,Production capacity and evolution,This flexibility and the presence of international profiles in the team ensures production capacity.,I have not received any advice at this juncture.,4.0
ORGA,Production capacity and evolution,Production capacity is maintained by the flexibility and international profiles of the team.,This level does not warrant any recommendations.,4.0
ORGA,Production capacity and evolution,The team's ability to be flexible and have international connections is crucial in maintaining the production capacity.,No suggestion is given for this kind of level.,4.0
ORGA,Production capacity and evolution,"By offering flexibility and incorporating international elements into the team, production capacity is maintained.",There are no recommendations available at this stage.,4.0
ORGA,PM - Data & Facts Centricity,The startup uses data for decision making. She uses UX tools and User Research techniques to understand user behavior,"The startup would benefit from centralizing all the data in a Product/UX, Technical, Marketing, Sales, HR, Support, Finance etc. KPIs dashboard. Use this dashboard to plot improvements that follow actions in the form of ""Validated Learnings"". Monitor the pace of these ""Validated Learnings"" (try to speed them up) by adding this measure to the most important key indicators that reflect the health of the organization and the growth potential, especially internationally.",5.0
ORGA,PM - Data & Facts Centricity,The startup relies on ux tools and user research techniques to analyze user behavior in order to make informed decisions.,"By consolidating all the data in a product, UX, technical, marketing, HR support, finance, and other KPIA dashboards, startups can improve their performance by plotting improvements in the form of validated learnings. This will help to increase the startup's productivity and growth potential internationally through this measure.",5.0
ORGA,PM - Data & Facts Centricity,"To make informed decisions, the startup utilizes ux tools and user research techniques to analyze data in order to understand how users behave.","The startup's success can be boosted by centralizing all data in a product, UX, technical, marketing, HR, support, finance, and KPIS dashboards. This will allow for the visualization of improvements in the form of validated learnings, which will be monitored at accelerated pace by adding this feature to key indicators that reflect the organization's health and potential for growth, particularly in other countries.",5.0
ORGA,PM - Data & Facts Centricity,"For decision making, the startup uses ux tools and user research techniques to analyze data in order to understand what people are doing.","A centralized data set within a product, UX, technical, marketing, HR support, finance and other KPIA dashboard can be advantageous for the startup. This will allow for better tracking of validated learnings as they are tracked by the company's progress and potential growth internationally.",5.0
ORGA,PM - Data & Facts Centricity,The startup utilizes ux tools and user research techniques to analyze data in order make informed decisions.,"To maximize the startup's potential, a centralized data set within an enterprise-wide product/product line would be beneficial. This could enable the visualization of progress in the form of validated learning by overlaying it on key performance indicators such as growth potential and organizational health.",5.0
ORGA,PM - Data & Facts Centricity,"In order to make informed decisions, the startup utilizes ux tools and user research techniques in order understand how users behave and respond.","Centralizing all the data in a product, UX (product), technical marketing (""output"") production and distribution (hr support), finance or other areas of the company's business would be more advantageous for the startup. This dashboard can be utilized to plot improvements in the form of validated learnings, track the speed of these acquired insights, and increase efficiency by including this measure among key indicators that reflect the organization's health and potential for growth, particularly in international markets.",5.0
ORGA,PM - Value Centricity,"The startup communicates with the users of its product to discover their needs in their real context, however the priority for the choice of features is the needs of the startup's marketing team and the Business growth objectives.","Training in Lean Product Management is recommended. The startup must remain above all centered on the human. The first prioritization criterion must be the value for a maximum of customers in the target. This is measured by the severity of the problems solved and by the ROI. Everything else, even if important, must come second. The only possible nuance is when there are cash problems for the startup, due to lack of funding, which ultimately slow down (and can even compromise) its development. The value of the product is the sum of what you put into it. In a counter-intuitive way, an addition that is not 100% optimized is not something more, but could become a real drop in the overall value of the product.",4.0
ORGA,PM - Value Centricity,"The startup engages with the users of its product in real-time to uncover their needs, but prioritizes the needs of the startup's marketing team and business growth objectives when selecting features.","It is recommended that the startup prioritizes human-centered training in lean product management, with a focus on measuring the value of customers by solving significant problems and prioritizing customer satisfaction.",4.0
ORGA,PM - Value Centricity,"While the startup engages with its product users to determine their actual needs, it prioritizes the needs of the marketing team and business growth objectives when selecting features.","Training in lean product management is recommended for startups that prioritize human-centered approach to customer satisfaction, with a focus on measuring the value of customers and solving problems.",4.0
ORGA,PM - Value Centricity,"Despite the startup's efforts to understand its users' needs in real-world scenarios, they prioritize selecting features that align with the marketing team and business goals.","The first priority for startups should be to train in lean product management, with a focus on maximizing customer satisfaction through solving problems and prioritizing value. However, when faced with cash flow issues that hinder their development, the startup must prioritize maintaining measurable value rather than overshooting its production process.",4.0
ORGA,PM - Value Centricity,"The startup consults with its product users to identify their requirements in real-world scenarios, but the primary concern is on the features chosen for the startup's marketing team and business objectives.","To ensure a successful product development, the startup must prioritize human-centered design and focus on optimizing its value.",4.0
ORGA,PM - Value Centricity,"Although the startup consults with its user base in real-life situations to determine their requirements, it emphasizeeth the needs of marketing team and business growth objectives when selecting features.","A recommendation is to train a startup team in lean product management with focusing on human-centered approach, prioritizing value creation over customer satisfaction through solved problems and ROI.",4.0
ORGA,Financing capacity,Active associated UGFS. Fundraising project necessary for the launch of Tawa France. Existence of customer purchase orders.,No recommendation at this level,2.0
ORGA,Financing capacity,"An ongoing ugfs fundraising initiative is required for the commencement of customer purchase orders in Toronto, Canada.",There is no suggestion at this level.,2.0
ORGA,Financing capacity,The launch of the Toronto franchise and the continuation of customer purchase orders necessitate a fundraising project for U.S. Government funded by United States Government.,I have not received any advice at this juncture.,2.0
ORGA,Financing capacity,"To begin the Toronto-based franchise of customer purchase orders, a fundraising project for UFGFS is being actively engaged.",This level does not warrant any recommendations.,2.0
ORGA,Financing capacity,"A fundraising project for the U.S. UGFS is currently in progress to launch the franchise in Toronto, Canada and enable customer purchase orders.",No suggestion is given for this kind of level.,2.0
ORGA,Financing capacity,"In order to launch the Toronto-based franchise and customer purchase orders, a fundraising project for UFGFS is being actively engaged.",There are no recommendations available at this stage.,2.0
ORGA,Cost centers,"Mainly salaries 60%, Media buying Facebook Ads 30%, Server infrastructure 10% (AWS grant), Digital auction server for production",No recommendation at this level,2.0
ORGA,Cost centers,"The main amount of money received includes salaries, media expenses, server equipment, and a digital auction server for production.",There is no suggestion at this level.,2.0
ORGA,Cost centers,"The primary focus is on salaries, with 60 paid for Facebook ads, server infrastructure, and a WPS grant digital auction server for production.",I have not received any advice at this juncture.,2.0
ORGA,Cost centers,"Most of the money is spent on salaries, with 60 individuals acquiring Facebook ads through media channels and 30 dollars on server infrastructure.",This level does not warrant any recommendations.,2.0
ORGA,Cost centers,"Mainly salaries, with 60 paid to Facebook and other media outlets for advertising.",No suggestion is given for this kind of level.,2.0
ORGA,Cost centers,"primarily pay 60 employees, with the money going to them for Facebook ads, television commercials, and internet services.",There are no recommendations available at this stage.,2.0
ORGA,CEO profile,Most of the CEO's experience is in the technical field. The intervention of the CEO is on the legal and sales&marketing aspects.,No recommendation at this level,5.0
ORGA,CEO profile,"The ceo's primary focus is on the legal and sales marketing aspects, while he has experience in various technical fields.",There is no suggestion at this level.,5.0
ORGA,CEO profile,"Most of the ceo's experience is in the technical field, while he/she devotes his or her time to legal and sales marketing matters.",I have not received any advice at this juncture.,5.0
ORGA,CEO profile,"While the ceo's experience primarily pertains to technical matters, they also prioritize legal and sales marketing aspects.",This level does not warrant any recommendations.,5.0
ORGA,CEO profile,"Despite having more experience in technical matters, the ceo's focus is on legal and sales marketing matters.",No suggestion is given for this kind of level.,5.0
ORGA,CEO profile,"The ceo's expertise lies in the technical field, while he concentrates on legal and sales marketing matters.",There are no recommendations available at this stage.,5.0
ORGA,Team Product Fit-Cofounders,A good current agreement of the founders. Two co-founders with the same technical background and linked by family ties,"Ensure that there are one or two co-founders who have a majority share, take into account future changes in capital in the event of fundraising.",3.0
ORGA,Team Product Fit-Cofounders,"The co-founders, who have similar technical backgrounds and are connected by family ties, have a strong agreement at present.",Ensure that one or two co founders have a majority stake and take into account future changes in capital when fundraising occurs.,3.0
ORGA,Team Product Fit-Cofounders,"The founders' two co-founders, who have similar technical backgrounds and are connected by family connections, have a strong agreement in the present.",It is important to ensure that one or two co founders have a majority stake and take into account future changes in capital when fundraising occurs.,3.0
ORGA,Team Product Fit-Cofounders,"There is a strong current connection between the co-founders, who have similar technical backgrounds and are linked by family ties.",Consider ensuring that one or two co founders have a majority stake and take into account future changes in capital when fundraising occurs.,3.0
ORGA,Team Product Fit-Cofounders,"A good current relationship exists between the co-founders, who are both from similar technical backgrounds and have a strong familial connection.","To ensure a majority of co-founders, it is important to consider future changes in capital when fundraising opportunities change.",3.0
ORGA,Team Product Fit-Cofounders,Two co-founders with similar technical backgrounds and strong family connections have a good current agreement.,"Make certain that a co founder has 80% ownership and takes into account future changes in capital, such as fundraising.",3.0
ORGA,Roles and team,Core of the team made up of the founding members. 3 members work part-time. Team of technically experienced profiles with international experience. No full-time developers. The main technical experts combine another profession Only the CEO is engaged full-time on the project. Business development is done by the CEO in addition to day-to-day management. Team between Tunis and Germany.,"Write a partnership pact that establishes the rules and roles of founding members. Draft a framework of roles and intervention for the Fedex POC. Hire at least one full-time developer. Invest in a sales team, to allow the injection of the cash needed for technical recruitment. Think about setting up a Delivery team that can be self-sufficient and that is located in the same place. Implement particularly advanced management practices (draw inspiration from good practices) to optimize remote communication and achieve a higher level of professionalism.",2.0
ORGA,Roles and team,"A 3-member team consisting of the founding members works part-time alongside a team of technically experienced individuals with global experience, while the remaining technical professionals are from other professions. The ceo is responsible for all project business development and manages the day-to-day management team between Tunisia and Germany.","Create an alliance agreement that specifies the duties and obligations of founding members, establish a structure for employment with at least one full-time developer, invest in supplementary sales personnel to facilitate technical recruitment, and establish self-reliant delivery teams located at the same location. Implement best practices for remote communication and enhance professional standards.",2.0
ORGA,Roles and team,"The team's core is composed of three founding members who work part-time, along with a technical team consisting of experienced individuals with global experience. The remaining developers are mostly technical professionals and some have separate careers. Only the CEO works full-day on the project, while the management team manages day-to-week operations between Tunisia and Germany.","Establish a partnership agreement that specifies the duties and obligations of founding members, establish responsibilities, and provide guidance for hiring 1-2 full-time developers, adding supplementary sales staff to support technical recruitment, exploring the possibility of creating specialized delivery teams at the same site, employing best practices in remote communication.",2.0
ORGA,Roles and team,"Among them, the core team comprises 3 founders who work part time, along with a team of technically experienced individuals with global experience. The remaining team members are not full-time developers; they consist of technical experts who combine their other career roles to support project development.","Drafting an official partnership agreement that outlines the duties and obligations of founding members creates organizational structure for FedEx POTUS to hire at least one full-time developer, invest in a sales team to provide technical recruitment support, and establish specialized delivery teams located nearby. Implement high-tech management practices such as remote communication and email marketing are being emulated by employees to achieve greater levels of professionalism.",2.0
ORGA,Roles and team,"Three of the founding members are part-time employees in a team of 3 professionals with international experience, while the remaining technical experts work from home to join primarily for project development.","Construct a partnership agreement that specifies the roles and regulations of founding members, establish responsibilities, and provide outlined plans for hiring primarily c-1-1 full-time developers, adding supplementary sales staff to support technical recruitment, exploring the possibility of creating specialized delivery teams at the same site, employing best practices in advanced management techniques, using good practice to enhance remote communication and attain heightened level of professionalism.",2.0
ORGA,Roles and team,"The core team consists of three founding members who work part-time, along with a technical expert team consisting of non-full-day full-timers and junior engineers.","Develop a partnership agreement that establishes the guidelines and duties of key players. Formulate supplementary information on how to improve the team's performance by recruiting 1-2 full-time developers, adding supplemental staff to the sales team for technical recruitment, and creating specialized management practices at the same location to promote self-reliance among employees.",2.0
ORGA,Production capacity and evolution,The recruitment plan is based on the turnover. Not enough financial momentum for product development in its value logic.,Identify the investment required for the development of the product and its roadmap. And then engage in the search for financing to reach the milestone of financial autonomy and profitability.,1.0
ORGA,Production capacity and evolution,"Due to insufficient financial momentum for product development, the value logic of the recruitment plan is based on the turnover.","Determine the investment necessary for product development and its roadmap, along with a plan to secure financing that will enable the product to be financially independent and profitable.",1.0
ORGA,Production capacity and evolution,The value logic of the recruitment plan is based on the fact that turnover does not provide sufficient financial momentum for product development.,"Identify the amount of investment necessary for product development and its roadmap, along with the process of seeking financing to achieve financial self-sufficiency and profitability.",1.0
ORGA,Production capacity and evolution,"The recruitment strategy is based on the assumption that turnover does not provide sufficient financial momentum for product development, as per the value logic.","Calculate the financial investment necessary for product development and its roadmap, then begin searching for financing to attain financial self-sufficiency.",1.0
ORGA,Production capacity and evolution,"According to the value logic, the recruitment strategy is based on a turnover that does not provide sufficient financial momentum for product development.","Find out how much money is required to develop the product and determine its strategy, followed by a search for financing to achieve financial self-sufficiency and profitability.",1.0
ORGA,Production capacity and evolution,"In the value logic, the recruitment strategy is based on a lack of financial momentum for product development due to turnover.","Establish a clear understanding of the investment necessary for product development and its roadmap, and then turn to alternative sources of financing when it becomes feasible to achieve financial self-sufficiency.",1.0
ORGA,PM - Agile and process scalability,Development team is not dedicated which weakens the ability of Agile practices. Using Trello and GitLab. Non-use of Burn Down chart.,"Start by setting up a Scrumban process first. Then ensure a stable team load during a sprint to implement Scrum, measure velocity and use the Burn Down curve. Use the same tool for the Product backlog, User Stories at the sprint level, and Technical tasks.",3.0
ORGA,PM - Agile and process scalability,"The development team's lack of dedication undermines the agility of agile methodologies, particularly when utilizing Trello and GitLab without the use of burnout charts.","Start by establishing a scrumban process and maintaining stable team workload during scouting to implement velocity measurements and burn down curve, using the same tool for product backlog user stories and technical tasks.",3.0
ORGA,PM - Agile and process scalability,"Agile methodologies that rely on Trello and GitLab are hindered by a lack of dedication from the development team, who do not employ burn down charts.","To implement scrum measurement velocity and burn down curve, establish a scrumban process and ensure adherence to team expectations during scouts. Utilize the same tool for technical tasks and product backlog user stories at the sprint level.",3.0
ORGA,PM - Agile and process scalability,"A lack of dedication from the development team diminishes the agility of agile practices that employ Trello and GitLab, as well as the non-use of burn down charts.","The scrum process must be established first, and then a stable team workload can be maintained during the sprint. To implement this, it is necessary to measure velocity and use the burn down curve for tracking sprint-level tasks such as adding user stories to the product backlog using the same tool or switching to technical tasks with the Burning of Power.",3.0
ORGA,PM - Agile and process scalability,"The inability of the development team to dedicate enough time can harm the agile methodology using Trello and GitLab, as well as their failure to use a burn-down chart.","Begin the scrum process by establishing an initial scrumban and maintaining stable team workload in time for sprint implementation. Measure velocity and use the burn down curve, then utilize the same tool to manage user stories and technical tasks related to product backlog and engineering work.",3.0
ORGA,PM - Agile and process scalability,"Deficiency in the agile practices through TRL and GITLAB is compromised by the development team's lack of dedication, which also undermines the use of burn down charts.","Establish a scrumban process and ensure adherence to stable team demands in the sprint to implement velocity measurements, burn down curves, and product backlog user stories at both sprint and technical levels.",3.0
ORGA,PM – Human Centricity,Human-centered practices are weakly practical. The development of the Roadmap does not follow a human-centered process.,"Develop the roadmap and interfaces with potential users. Test the product with more people and above all collect the opinions of each user if possible Integrate tools that give UX insights (like Smart Look, Crazyegg, Mixpanel, etc.). Validate models with users before implementing them. Adopt an attitude that consists in wanting to validate all the hypotheses as early as possible in development thanks to empathy with the user or according to his real behavior on the ground. Do not trust what you think you know and which is always to be put into perspective.",2.0
ORGA,PM – Human Centricity,The absence of a human centered process in the development of the roadmap makes these practices less practical.,"Create a roadmap and interfaces with potential users, test the product with more people, and gather feedback from users. If feasible, use tools like smart look, eggshell mixpanel, or other similar tools to validate models before implementing.",2.0
ORGA,PM – Human Centricity,"The roadmap's development is not based on a human-centered process, which makes them less practical.","Develop the roadmap and interfaces with potential users, test the product with more people, and gather feedback from users. If feasible, use tools like smart look, ecta-panel, or other similar tools to validate models before implementing them.",2.0
ORGA,PM – Human Centricity,"While human centered practices are useful, the roadmap's development does not align with this concept.","Establish a strategy, interfaces, and roadmap with potential users, test the product's functionality, gather feedback from users as needed, utilize analytics tools like smart look, eggshell layout, or mixpanel before implementing.",2.0
